Index,Lead_2
0,0.4128205128205128
1,0.41113553113553114
2,0.4086080586080586
3,0.40945054945054943
4,0.4128205128205128
5,0.41197802197802197
6,0.41394383394383394
7,0.418998778998779
8,0.4178754578754579
9,0.4201221001221001
10,0.4178754578754579
11,0.41675213675213674
12,0.4173137973137973
13,0.4145054945054945
14,0.41619047619047617
15,0.41338217338217337
16,0.41394383394383394
17,0.41562881562881565
18,0.41675213675213674
19,0.41394383394383394
20,0.41703296703296705
21,0.4234920634920635
22,0.4192796092796093
23,0.4201221001221001
24,0.42124542124542125
25,0.44427350427350426
26,0.4970695970695971
27,0.5706471306471307
28,0.6408547008547009
29,0.6709035409035409
30,0.6018192918192918
31,0.4616849816849817
32,0.31284493284493287
33,0.23617826617826618
34,0.25274725274725274
35,0.3044200244200244
36,0.3544078144078144
37,0.3923199023199023
38,0.4114163614163614
39,0.41956043956043954
40,0.4206837606837607
41,0.4173137973137973
42,0.41534798534798534
43,0.41675213675213674
44,0.4178754578754579
45,0.4159096459096459
46,0.4145054945054945
47,0.41394383394383394
48,0.41422466422466425
49,0.41478632478632477
50,0.41562881562881565
51,0.41815628815628814
52,0.4220879120879121
53,0.4251770451770452
54,0.4307936507936508
55,0.4316361416361416
56,0.4305128205128205
57,0.4302319902319902
58,0.43416361416361415
59,0.43275946275946275
60,0.43275946275946275
61,0.43416361416361415
62,0.4361294261294261
63,0.435006105006105
64,0.4361294261294261
65,0.43865689865689866
66,0.4453968253968254
67,0.4482051282051282
68,0.45073260073260074
69,0.45522588522588525
70,0.4585958485958486
71,0.45943833943833945
72,0.46814407814407816
73,0.47235653235653235
74,0.4776923076923077
75,0.4819047619047619
76,0.48892551892551894
77,0.49117216117216117
78,0.49398046398046397
79,0.49875457875457874
80,0.5083028083028083
81,0.5108302808302808
82,0.5167277167277168
83,0.5198168498168498
84,0.5206593406593406
85,0.5220634920634921
86,0.5161660561660562
87,0.5063369963369964
88,0.49875457875457874
89,0.49032967032967034
90,0.4762881562881563
91,0.46533577533577536
92,0.45438339438339437
93,0.44708180708180706
94,0.43921855921855923
95,0.4336019536019536
96,0.4321978021978022
97,0.4307936507936508
98,0.42854700854700856
99,0.4319169719169719
100,0.42995115995115996
101,0.42995115995115996
102,0.4263003663003663
103,0.4274236874236874
104,0.42405372405372405
105,0.4229304029304029
106,0.4206837606837607
107,0.4223687423687424
108,0.4232112332112332
109,0.4251770451770452
110,0.4237728937728938
111,0.4206837606837607
112,0.42264957264957265
113,0.4232112332112332
114,0.42714285714285716
115,0.4274236874236874
116,0.4251770451770452
117,0.4291086691086691
118,0.43135531135531135
119,0.4307936507936508
120,0.43135531135531135
121,0.4316361416361416
122,0.427985347985348
123,0.42995115995115996
124,0.4263003663003663
125,0.42854700854700856
126,0.4234920634920635
127,0.4263003663003663
128,0.4220879120879121
129,0.4218070818070818
130,0.418998778998779
131,0.41562881562881565
132,0.4173137973137973
133,0.4131013431013431
134,0.4150671550671551
135,0.41338217338217337
136,0.4307936507936508
137,0.4833089133089133
138,0.5594139194139194
139,0.6304639804639804
140,0.6683760683760683
141,0.6035042735042735
142,0.4585958485958486
143,0.303015873015873
144,0.23112332112332112
145,0.2502197802197802
146,0.30666666666666664
147,0.35496947496947495
148,0.3805250305250305
149,0.39035409035409036
150,0.3956898656898657
151,0.40046398046398046
152,0.4001831501831502
153,0.40383394383394383
154,0.40102564102564103
155,0.40327228327228326
156,0.404957264957265
157,0.40467643467643466
158,0.4057997557997558
159,0.4072039072039072
160,0.40945054945054943
161,0.41197802197802197
162,0.41394383394383394
163,0.41562881562881565
164,0.418998778998779
165,0.420964590964591
166,0.4237728937728938
167,0.4293894993894994
168,0.4338827838827839
