index,II
3,17
4,17
5,18
6,20
7,21
8,22
9,24
10,26
11,28
12,30
13,31
14,31
15,32
16,33
17,33
18,33
19,34
20,34
21,34
22,33
23,34
24,34
25,33
26,33
27,33
28,33
29,33
30,33
31,33
32,33
33,32
34,33
35,33
36,33
37,33
38,33
39,34
40,36
41,37
42,39
43,40
44,41
45,41
46,39
47,37
48,36
49,35
50,35
51,35
52,33
53,30
54,28
55,33
56,47
57,66
58,98
59,111
60,114
61,101
62,84
63,65
64,40
65,32
66,27
67,25
68,24
69,23
70,22
71,22
72,21
73,21
74,21
75,23
76,23
77,24
78,22
79,21
80,20
81,20
82,20
83,20
84,20
85,21
86,22
87,24
88,26
89,27
90,29
91,31
92,33
93,34
94,35
95,35
96,35
97,36
98,37
99,36
100,36
101,36
102,36
103,35
104,35
105,35
106,35
107,34
108,33
109,31
110,31
111,31
112,31
113,31
114,30
115,31
116,30
117,30
118,31
119,31
120,32
121,32
122,32
123,33
124,34
125,36
126,38
127,41
128,43
129,46
130,48
131,49
132,48
133,46
134,43
135,40
136,38
137,37
138,36
139,36
140,36
141,36
142,35
143,36
144,36
145,36
146,34
147,32
148,44
149,52
150,81
151,103
152,113
153,111
154,96
155,70
156,53
157,38
158,33
159,30
160,28
161,27
162,26
163,25
164,25
165,25
166,24
167,24
168,24
169,24
170,24
171,24
172,23
173,24
174,24
175,24
176,25
177,26
178,26
179,27
180,28
181,30
182,31
183,33
184,35
185,37
186,39
187,41
188,44
189,46
190,48
191,47
192,46
193,45
194,41
195,39
196,38
197,37
198,36
199,35
200,34
201,33
202,33
203,33
204,31
205,31
206,31
207,31
208,30
209,29
210,43
211,65
212,87
213,103
214,114
215,112
216,101
217,75
218,50
219,33
220,28
221,25
222,23
223,21
224,20
225,19
226,19
227,19
228,18
229,18
230,18
231,18
232,18
233,18
234,18
235,18
236,20
237,21
238,21
239,23
240,24
241,26
242,27
243,29
244,31
245,32
246,33
247,34
248,34
249,35
250,35
251,35
252,36
253,36
254,36
255,36
256,35
257,36
258,36
259,37
260,38
261,40
262,41
263,44
264,44
265,44
266,44
267,43
268,42
269,40
270,38
271,37
272,35
273,35
274,35
275,35
276,35
277,35
278,35
279,34
280,32
281,30
282,32
283,44
284,64
285,90
286,109
287,118
288,112
289,95
290,76
291,49
292,35
293,28
294,26
295,25
296,23
297,23
298,23
299,22
300,21
301,21
302,21
303,21
304,21
305,21
306,21
307,21
308,21
309,21
310,21
311,22
312,23
313,25
314,26
315,28
316,29
317,30
318,32
319,34
320,34
321,35
322,35
323,35
324,36
325,36
326,37
327,38
328,38
329,38
330,38
331,38
332,38
333,38
334,41
335,46
336,58
337,78
338,99
339,109
340,117
341,111
342,100
343,77
344,53
345,36
346,31
347,28
348,26
349,25
350,24
351,24
352,23
353,22
354,22
355,22
356,22
357,22
358,22
359,22
360,24
361,24
362,25
363,26
364,27
365,28
366,29
367,31
368,32
369,33
370,34
371,34
372,35
373,35
374,36
375,36
376,36
377,36
378,36
379,36
380,36
381,36
382,36
383,36
384,36
385,37
386,38
387,38
388,38
389,37
390,36
391,36
392,37
393,37
394,37
395,38
396,39
397,41
398,42
399,42
400,38
401,35
402,35
403,49
404,60
405,82
406,104
407,114
408,109
409,99
410,71
411,48
412,40
413,35
414,32
415,29
416,29
417,28
418,28
419,27
420,27
421,27
422,26
423,26
424,25
425,25
426,25
427,25
428,27
429,27
430,27
431,28
432,28
433,29
434,30
435,31
436,32
437,34
438,36
439,36
440,38
441,38
442,38
443,38
444,39
445,39
446,40
447,40
448,40
449,40
450,39
451,39
452,39
453,39
454,38
455,38
456,37
457,37
458,38
459,39
460,40
461,42
462,43
463,42
464,40
465,39
466,38
467,38
468,38
469,37
470,37
471,35
472,34
473,37
474,50
475,75
476,95
477,113
478,119
479,113
480,94
481,67
482,45
483,35
484,32
485,30
486,29
487,29
488,28
489,27
490,26
491,25
492,25
493,25
494,24
495,24
496,24
497,24
498,25
499,26
500,26
501,25
502,27
503,28
504,29
505,31
506,32
507,32
508,34
509,35
510,36
511,37
512,37
513,37
514,37
515,37
516,37
517,37
518,37
519,37
520,36
521,36
522,35
523,35
524,34
525,33
526,33
527,32
528,32
529,33
530,34
531,35
532,36
533,36
534,35
535,34
536,34
537,34
538,34
539,34
540,34
541,34
542,34
543,33
544,32
545,32
546,34
547,35
548,36
549,37
550,34
551,33
552,34
553,45
554,60
555,82
556,106
557,116
558,112
559,97
560,65
561,49
562,35
563,30
564,28
565,26
566,25
567,24
568,24
569,24
570,23
571,23
572,22
573,22
574,22
575,22
576,22
577,22
578,22
579,22
580,23
581,23
582,24
583,25
584,27
585,28
586,30
587,32
588,33
589,34
590,35
591,36
592,36
593,36
594,36
595,36
596,37
597,37
598,37
599,37
600,37
601,37
602,36
603,36
604,35
605,34
606,34
607,33
608,33
609,32
610,32
611,32
612,32
613,32
614,32
615,31
616,32
617,32
618,32
619,33
620,33
621,33
622,33
623,34
624,34
625,35
626,35
627,36
628,37
629,37
630,37
631,37
632,38
633,38
634,38
635,37
636,36
637,35
638,34
639,32
640,30
641,28
642,27
643,26
644,26
645,26
646,27
647,28
648,29
649,30
650,34
651,42
652,61
653,81
654,106
655,109
656,114
657,95
658,70
659,47
660,32
661,28
662,25
663,24
664,23
665,23
666,22
667,22
668,22
669,22
670,22
671,22
672,22
673,23
674,22
675,22
676,22
677,22
678,23
679,24
680,25
681,27
682,28
683,28
684,27
685,27
686,27
687,28
688,30
689,31
690,33
691,34
692,35
693,36
694,35
695,34
696,34
697,33
698,33
699,33
700,33
701,33
702,33
703,32
704,32
705,32
706,31
707,31
708,30
709,29
710,36
711,44
712,59
713,78
714,96
715,111
716,111
717,87
718,67
719,46
720,32
721,27
722,25
723,24
724,23
725,23
726,22
727,21
728,21
729,21
730,21
731,22
732,21
733,21
734,22
735,24
736,25
737,26
738,27
739,28
740,29
741,30
742,31
743,32
744,33
745,33
746,34
747,34
748,34
749,34
750,34
751,33
752,34
753,33
754,34
755,35
756,36
757,37
758,39
759,40
760,41
761,41
762,40
763,39
764,37
765,35
766,33
767,33
768,32
769,32
770,32
771,32
772,32
773,32
774,32
775,32
776,32
777,31
778,29
779,35
780,45
781,58
782,81
783,104
784,110
785,104
786,97
787,74
788,52
789,34
790,27
791,24
792,23
793,23
794,22
795,21
796,20
797,20
798,19
799,18
800,18
801,19
802,18
803,18
804,18
805,19
806,20
807,20
808,21
809,22
810,23
811,24
812,25
813,27
814,28
815,28
816,29
817,30
818,30
819,31
820,31
821,31
822,31
823,31
824,31
825,31
826,31
827,31
828,31
829,31
830,31
831,30
832,30
833,29
834,30
835,30
836,30
837,30
838,30
839,30
840,30
841,31
842,32
843,33
844,35
845,36
846,37
847,38
848,38
849,38
850,38
851,38
852,36
853,35
854,33
855,32
856,31
857,30
858,29
859,29
860,29
861,29
862,30
863,30
864,30
865,30
866,29
867,28
868,32
869,40
870,57
871,80
872,101
873,106
874,110
875,93
876,72
877,40
878,28
879,22
880,21
881,20
882,19
883,19
884,18
885,18
886,18
887,18
888,18
889,18
890,18
891,18
892,18
893,18
894,18
895,18
896,18
897,19
898,19
899,20
900,22
901,23
902,25
903,27
904,28
905,29
906,30
907,31
908,31
909,31
910,32
911,32
912,33
913,33
914,33
915,33
916,33
917,33
918,33
919,33
920,33
921,34
922,34
923,35
924,36
925,38
926,40
927,41
928,39
929,37
930,35
931,34
932,34
933,33
934,33
935,31
936,31
937,31
938,31
939,31
940,31
941,31
942,31
943,31
944,31
945,28
946,26
947,25
948,33
949,50
950,70
951,86
952,105
953,116
954,108
955,90
956,61
957,38
958,31
959,28
960,27
961,27
962,26
963,24
964,24
965,26
966,28
967,29
968,30
969,29
970,28
971,27
972,27
973,26
974,24
975,24
976,24
977,24
978,25
979,26
980,27
981,29
982,30
983,32
984,34
985,35
986,35
987,37
988,38
989,38
990,39
991,39
992,39
993,39
994,39
995,39
996,39
997,39
998,39
999,40
1000,40
1001,39
1002,39
1003,38
1004,37
1005,35
1006,44
1007,60
1008,85
1009,106
1010,114
1011,14
1012,33
1013,59
1014,79
1015,50
1016,39
1017,34
1018,32
1019,29
1020,28
1021,27
1022,27
1023,26
1024,26
1025,27
1026,27
1027,28
1028,29
1029,29
1030,29
1031,30
1032,31
1033,30
1034,31
1035,31
1036,31
1037,31
1038,31
1039,30
1040,31
1041,31
1042,30
1043,30
1044,30
1045,29
1046,28
1047,27
1048,26
1049,26
1050,26
1051,24
1052,23
1053,23
1054,23
1055,23
1056,23
1057,23
1058,23
1059,23
1060,23
1061,24
1062,24
1063,24
1064,23
1065,23
1066,23
1067,23
1068,23
1069,23
1070,23
1071,23
1072,23
1073,23
1074,23
1075,23
1076,23
1077,23
1078,23
1079,24
1080,25
1081,26
1082,27
1083,29
1084,29
1085,27
1086,25
1087,22
1088,21
1089,19
1090,19
1091,19
1092,18
1093,17
1094,16
1095,16
1096,15
1097,15
1098,14
1099,14
1100,14
1101,15
1102,14
1103,12
1104,13
1105,25
1106,48
1107,68
1108,87
1109,96
1110,104
1111,93
1112,65
1113,43
1114,25
1115,18
1116,14
1117,13
1118,11
1119,10
1120,10
1121,10
1122,10
1123,9
1124,9
1125,9
1126,9
1127,8
1128,9
1129,9
1130,9
1131,9
1132,9
1133,9
1134,9
1135,10
1136,11
1137,12
1138,13
1139,15
1140,17
1141,19
1142,19
1143,21
1144,22
1145,23
