I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1356,-145.0,-373.0,-1052.0,-1052.0,-1258.0,-1305.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1356,-145.0,-373.0,-1047.0,-1047.0,-1259.0,-1305.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1354,-144.0,-374.0,-1043.0,-1043.0,-1259.0,-1305.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1356,-144.0,-374.0,-1040.0,-1040.0,-1262.0,-1305.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1356,-144.0,-374.0,-1032.0,-1032.0,-1280.0,-1305.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1355,-143.0,-374.0,-1026.0,-1026.0,-1286.0,-1306.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1355,-141.0,-375.0,-768.0,-1024.0,-1290.0,-1306.0
-1120.0,-1120.0,-1120.0,-1120.0,-1120.0,-1354,-143.0,-375.0,-770.0,-770.0,-1308.0,-1307.0
-1121.0,-1121.0,-1121.0,-1121.0,-1121.0,-1355,-144.0,-376.0,-772.0,-772.0,-1315.0,-1308.0
-1121.0,-1121.0,-1121.0,-1121.0,-1121.0,-1355,-144.0,-376.0,-776.0,-776.0,-1318.0,-1308.0
-1122.0,-1122.0,-1122.0,-1122.0,-1121.0,-1355,-144.0,-377.0,-781.0,-781.0,-1328.0,-1308.0
-1121.0,-1121.0,-1121.0,-1121.0,-1121.0,-1356,-145.0,-378.0,-784.0,-784.0,-1320.0,-1306.0
-1121.0,-1121.0,-1121.0,-1121.0,-1121.0,-1356,-145.0,-379.0,-788.0,-788.0,-1318.0,-1303.0
-1121.0,-1121.0,-1121.0,-1121.0,-1121.0,-1356,-146.0,-380.0,-789.0,-789.0,-1315.0,-1297.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-147.0,-381.0,-791.0,-791.0,-1079.0,-1290.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-147.0,-382.0,-792.0,-791.0,-1083.0,-1270.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-148.0,-383.0,-791.0,-791.0,-1085.0,-1267.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-149.0,-385.0,-791.0,-791.0,-1085.0,-1264.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-150.0,-386.0,-787.0,-787.0,-1083.0,-1260.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-151.0,-386.0,-782.0,-774.0,-1079.0,-1258.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-152.0,-387.0,-778.0,-848.0,-1075.0,-1259.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-153.0,-387.0,-862.0,-847.0,-1072.0,-1259.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-154.0,-387.0,-846.0,-846.0,-1070.0,-1262.0
-883.0,-883.0,-883.0,-883.0,-1121.0,-1356,-155.0,-388.0,-846.0,-846.0,-1069.0,-1280.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1356,-155.0,-388.0,-844.0,-844.0,-1068.0,-1286.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1356,-156.0,-388.0,-841.0,-841.0,-1068.0,-1290.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1356,-156.0,-388.0,-839.0,-839.0,-1067.0,-1308.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1356,-156.0,-388.0,-836.0,-836.0,-1067.0,-1315.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1357,-157.0,-388.0,-833.0,-833.0,-1067.0,-1318.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1357,-157.0,-389.0,-832.0,-832.0,-1067.0,-1320.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1357,-158.0,-389.0,-830.0,-830.0,-1066.0,-1320.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1357,-158.0,-389.0,-830.0,-830.0,-1066.0,-1318.0
-882.0,-882.0,-882.0,-882.0,-1121.0,-1357,-159.0,-389.0,-829.0,-829.0,-1066.0,-1315.0
-649.0,-649.0,-649.0,-882.0,-1121.0,-1357,-159.0,-389.0,-829.0,-829.0,-1065.0,-1313.0
-650.0,-650.0,-650.0,-882.0,-1121.0,-1357,-159.0,-389.0,-828.0,-828.0,-1065.0,-1311.0
-650.0,-650.0,-650.0,-882.0,-1121.0,-1357,-159.0,-159.0,-828.0,-828.0,-1065.0,-1309.0
-650.0,-650.0,-650.0,-882.0,-1121.0,-1357,-158.0,-158.0,-828.0,-828.0,-1065.0,-1309.0
-650.0,-650.0,-650.0,-882.0,-1121.0,-1357,-157.0,-157.0,-828.0,-828.0,-1065.0,-1308.0
-650.0,-650.0,-650.0,-882.0,-1121.0,-1357,-154.0,-154.0,-827.0,-827.0,-1065.0,-1307.0
-650.0,-650.0,-650.0,-880.0,-1122.0,-1357,-151.0,-151.0,-827.0,-827.0,-1064.0,-1307.0
-651.0,-651.0,-650.0,-882.0,-1122.0,-1357,-148.0,-148.0,-827.0,-827.0,-1064.0,-1306.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1357,-146.0,-146.0,-827.0,-827.0,-1064.0,-1306.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1357,-143.0,-143.0,-827.0,-827.0,-1064.0,-1305.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1357,-138.0,-138.0,-826.0,-826.0,-1064.0,-1305.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1356,-135.0,-135.0,-826.0,-826.0,-1064.0,-1305.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1356,-127.0,-127.0,-826.0,-826.0,-1064.0,-1304.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1355,-134.0,-134.0,-826.0,-826.0,-1064.0,-1304.0
-650.0,-650.0,-650.0,-882.0,-1122.0,-1355,-137.0,-137.0,-826.0,-826.0,-1064.0,-1302.0
-420.0,-420.0,-651.0,-882.0,-1122.0,-1354,-140.0,-140.0,-825.0,-825.0,-1063.0,-1304.0
-422.0,-421.0,-651.0,-882.0,-1122.0,-1353,-149.0,-149.0,-825.0,-825.0,-1063.0,-1304.0
-420.0,-418.0,-651.0,-882.0,-1122.0,-1352,-192.0,-192.0,-825.0,-825.0,-1063.0,-1304.0
-420.0,-420.0,-651.0,-882.0,-1122.0,-1351,-212.0,-212.0,-824.0,-824.0,-1063.0,-1305.0
-421.0,-421.0,-651.0,-882.0,-1122.0,-1351,-221.0,-414.0,-824.0,-824.0,-1063.0,-1305.0
-421.0,-421.0,-651.0,-882.0,-1122.0,-1348,-226.0,-419.0,-823.0,-823.0,-1062.0,-1305.0
-421.0,-421.0,-651.0,-882.0,-1121.0,-1350,-270.0,-417.0,-822.0,-822.0,-1061.0,-1305.0
-421.0,-421.0,-651.0,-882.0,-1121.0,-1351,-430.0,-415.0,-822.0,-822.0,-1061.0,-1305.0
-422.0,-421.0,-651.0,-883.0,-1121.0,-1351,-413.0,-413.0,-821.0,-821.0,-1060.0,-1305.0
-421.0,-421.0,-651.0,-883.0,-1121.0,-1351,-405.0,-405.0,-820.0,-820.0,-1060.0,-1305.0
-421.0,-421.0,-652.0,-883.0,-1120.0,-1351,-400.0,-400.0,-820.0,-820.0,-1059.0,-1304.0
-421.0,-421.0,-652.0,-883.0,-1120.0,-1351,-177.0,-397.0,-819.0,-819.0,-1059.0,-1304.0
-421.0,-421.0,-652.0,-884.0,-1120.0,-1351,-175.0,-394.0,-818.0,-818.0,-1058.0,-1303.0
-421.0,-421.0,-652.0,-884.0,-1120.0,-1351,-171.0,-392.0,-817.0,-817.0,-1057.0,-1302.0
-194.0,-421.0,-652.0,-884.0,-1119.0,-1351,-167.0,-391.0,-816.0,-816.0,-1057.0,-1302.0
-194.0,-421.0,-652.0,-885.0,-1119.0,-1351,-164.0,-389.0,-815.0,-815.0,-1056.0,-1302.0
-194.0,-421.0,-652.0,-885.0,-1118.0,-1348,-161.0,-388.0,-813.0,-813.0,-1055.0,-1302.0
-195.0,-422.0,-652.0,-886.0,-1118.0,-1351,-158.0,-388.0,-811.0,-811.0,-1054.0,-1301.0
-195.0,-422.0,-652.0,-887.0,-1117.0,-1352,-155.0,-387.0,-810.0,-810.0,-1053.0,-1301.0
-195.0,-422.0,-652.0,-887.0,-1117.0,-1353,-154.0,-386.0,-808.0,-808.0,-1052.0,-1299.0
-195.0,-422.0,-652.0,-888.0,-1116.0,-1355,-153.0,-386.0,-806.0,-806.0,-1051.0,-1301.0
-195.0,-423.0,-652.0,-889.0,-1115.0,-1356,-152.0,-385.0,-804.0,-804.0,-1049.0,-1301.0
-196.0,-423.0,-652.0,-890.0,-1115.0,-1358,-152.0,-385.0,-802.0,-802.0,-1047.0,-1301.0
-196.0,-423.0,-652.0,-891.0,-1115.0,-1358,-152.0,-384.0,-800.0,-800.0,-1046.0,-1302.0
-196.0,-423.0,-652.0,-891.0,-1112.0,-1359,-151.0,-384.0,-798.0,-798.0,-1045.0,-1302.0
