I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-189.0,-420.0,-653.0,-886.0,-1117.0,-1354,-155.0,-385.0,-610.0,-834.0,-1061.0,-1301.0
-188.0,-420.0,-653.0,-886.0,-1117.0,-1354,-155.0,-385.0,-610.0,-834.0,-1061.0,-1301.0
-188.0,-421.0,-653.0,-886.0,-1117.0,-1354,-155.0,-386.0,-611.0,-836.0,-1061.0,-1301.0
-188.0,-421.0,-652.0,-886.0,-1117.0,-1354,-155.0,-385.0,-610.0,-834.0,-1061.0,-1301.0
-188.0,-421.0,-652.0,-886.0,-1117.0,-1354,-155.0,-385.0,-610.0,-834.0,-1061.0,-1301.0
-188.0,-421.0,-652.0,-886.0,-1117.0,-1354,-155.0,-385.0,-610.0,-834.0,-1061.0,-1301.0
-188.0,-421.0,-651.0,-885.0,-1117.0,-1355,-155.0,-384.0,-610.0,-834.0,-1060.0,-1300.0
-188.0,-421.0,-651.0,-885.0,-1117.0,-1355,-155.0,-384.0,-610.0,-833.0,-1060.0,-1300.0
-186.0,-421.0,-651.0,-885.0,-1117.0,-1355,-155.0,-384.0,-609.0,-833.0,-1060.0,-1299.0
-188.0,-421.0,-651.0,-884.0,-1117.0,-1355,-155.0,-384.0,-609.0,-833.0,-1060.0,-1298.0
-188.0,-421.0,-651.0,-884.0,-1117.0,-1356,-154.0,-383.0,-608.0,-832.0,-1059.0,-1297.0
-188.0,-420.0,-651.0,-883.0,-1117.0,-1356,-154.0,-383.0,-608.0,-832.0,-1059.0,-1296.0
-188.0,-420.0,-651.0,-883.0,-1117.0,-1356,-153.0,-382.0,-607.0,-831.0,-1058.0,-1295.0
-188.0,-420.0,-651.0,-883.0,-1117.0,-1355,-153.0,-382.0,-606.0,-830.0,-1057.0,-1295.0
-188.0,-420.0,-651.0,-884.0,-1117.0,-1355,-152.0,-381.0,-605.0,-829.0,-1056.0,-1294.0
-188.0,-419.0,-651.0,-884.0,-1117.0,-1355,-151.0,-381.0,-604.0,-829.0,-1056.0,-1293.0
-189.0,-419.0,-651.0,-884.0,-1117.0,-1355,-151.0,-380.0,-603.0,-828.0,-1055.0,-1292.0
-189.0,-418.0,-651.0,-886.0,-1116.0,-1353,-151.0,-379.0,-602.0,-827.0,-1055.0,-1291.0
-190.0,-417.0,-651.0,-884.0,-1116.0,-1355,-151.0,-378.0,-601.0,-826.0,-1054.0,-1290.0
-191.0,-415.0,-649.0,-884.0,-1116.0,-1355,-149.0,-377.0,-601.0,-825.0,-1054.0,-1290.0
-191.0,-417.0,-651.0,-884.0,-1116.0,-1355,-151.0,-377.0,-600.0,-825.0,-1053.0,-1289.0
-191.0,-417.0,-651.0,-883.0,-1116.0,-1355,-151.0,-377.0,-599.0,-825.0,-1052.0,-1288.0
-191.0,-418.0,-651.0,-883.0,-1116.0,-1356,-151.0,-377.0,-600.0,-825.0,-1051.0,-1288.0
