Index,II
0,1.7602442002442005
1,1.756874236874237
2,1.7523809523809524
3,1.749010989010989
4,1.7602442002442005
5,1.7636141636141636
6,1.7546275946275949
7,1.7624908424908423
8,1.7714774114774114
9,1.7714774114774114
10,1.7613675213675213
11,1.7726007326007327
12,1.779340659340659
13,1.7591208791208792
14,1.75013431013431
15,1.7535042735042734
16,1.7602442002442005
17,1.7658608058608058
18,1.7860805860805862
19,1.795067155067155
20,1.811916971916972
21,1.8107936507936508
22,1.800683760683761
23,1.795067155067155
24,1.7939438339438338
25,1.7894505494505497
26,1.779340659340659
27,1.768107448107448
28,1.7703540903540904
29,1.7636141636141636
30,1.7411477411477412
31,1.7456410256410255
32,1.7546275946275949
33,1.749010989010989
34,1.7546275946275949
35,1.7591208791208792
36,1.7703540903540904
37,1.768107448107448
38,1.7703540903540904
39,1.7658608058608058
40,1.7433943833943837
41,1.7613675213675213
42,1.947838827838828
43,2.361221001221001
44,2.888058608058608
45,3.2722344322344323
46,3.317167277167277
47,2.935238095238095
48,2.4027838827838828
49,1.975921855921856
50,1.7872039072039072
51,1.737777777777778
52,1.7096947496947497
53,1.6827350427350427
54,1.6422954822954825
55,1.6299389499389498
56,1.6220757020757022
57,1.6175824175824176
58,1.5917460317460317
59,1.5917460317460317
60,1.6018559218559218
61,1.6052258852258852
62,1.6018559218559218
63,1.5984859584859583
64,1.6063492063492064
65,1.604102564102564
66,1.61982905982906
67,1.611965811965812
68,1.6187057387057386
69,1.6108424908424908
70,1.6085958485958487
71,1.6175824175824176
72,1.6231990231990232
73,1.61982905982906
74,1.6164590964590964
75,1.6299389499389498
76,1.631062271062271
77,1.6299389499389498
78,1.6220757020757022
79,1.6344322344322344
80,1.6355555555555557
81,1.64004884004884
82,1.6333089133089134
83,1.6265689865689863
84,1.6467887667887668
85,1.6445421245421246
86,1.6299389499389498
87,1.6333089133089134
88,1.6344322344322344
89,1.6344322344322344
90,1.64004884004884
91,1.6625152625152626
92,1.6681318681318682
93,1.6748717948717948
94,1.6737484737484738
95,1.6816117216117217
96,1.7063247863247863
97,1.7287912087912087
98,1.7478876678876678
99,1.777094017094017
100,1.8164102564102564
101,1.81978021978022
102,1.8377533577533576
103,1.857973137973138
104,1.87931623931624
105,1.8849328449328449
106,1.883809523809524
107,1.886056166056166
108,1.868083028083028
109,1.832136752136752
110,1.8018070818070813
111,1.7726007326007327
112,1.749010989010989
113,1.7096947496947497
114,1.684981684981685
115,1.6793650793650794
116,1.6827350427350427
117,1.6546520146520147
118,1.6445421245421246
119,1.6467887667887668
120,1.6512820512820512
121,1.6535286935286937
122,1.6501587301587302
123,1.6422954822954825
124,1.6445421245421246
125,1.6411721611721612
126,1.64004884004884
127,1.656898656898657
128,1.6602686202686203
129,1.6625152625152626
130,1.6546520146520147
131,1.6501587301587302
132,1.6557753357753358
133,1.6512820512820512
134,1.659145299145299
135,1.6647619047619049
136,1.6681318681318682
137,1.6625152625152626
138,1.6681318681318682
139,1.677118437118437
140,1.686105006105006
141,1.6703785103785105
142,1.667008547008547
143,1.6715018315018315
144,1.677118437118437
145,1.677118437118437
146,1.686105006105006
147,1.6973382173382174
148,1.684981684981685
149,1.6816117216117217
150,1.6816117216117217
151,1.705201465201465
