DateTime,ECG
2023-08-31 16:47:13.736000000,1.7557509157509157
2023-08-31 16:47:13.741000192,1.7535042735042734
2023-08-31 16:47:13.746000384,1.75013431013431
2023-08-31 16:47:13.751000320,1.757997557997558
2023-08-31 16:47:13.756000512,1.7456410256410257
2023-08-31 16:47:13.761000704,1.7377777777777779
2023-08-31 16:47:13.766000640,1.7344078144078143
2023-08-31 16:47:13.771000832,1.7276678876678877
2023-08-31 16:47:13.776001024,1.7321611721611723
2023-08-31 16:47:13.781001216,1.738901098901099
2023-08-31 16:47:13.786001152,1.7467643467643468
2023-08-31 16:47:13.791001344,1.7860805860805862
2023-08-31 16:47:13.796001536,1.9354822954822954
2023-08-31 16:47:13.801001472,2.0152380952380953
2023-08-31 16:47:13.806001664,1.8366300366300365
2023-08-31 16:47:13.811001856,1.7242979242979244
2023-08-31 16:47:13.816001792,1.5692796092796093
2023-08-31 16:47:13.821001984,1.374945054945055
2023-08-31 16:47:13.826002176,1.1817338217338218
2023-08-31 16:47:13.831002112,1.0413186813186812
2023-08-31 16:47:13.836002304,0.9772893772893773
2023-08-31 16:47:13.841002496,1.0042490842490843
2023-08-31 16:47:13.846002688,1.1132112332112332
2023-08-31 16:47:13.851002624,1.2165567765567766
2023-08-31 16:47:13.856002816,1.3075457875457877
2023-08-31 16:47:13.861003008,1.3221489621489622
2023-08-31 16:47:13.866002944,1.3041758241758241
2023-08-31 16:47:13.871003136,1.3165323565323566
2023-08-31 16:47:13.876003328,1.3558485958485957
2023-08-31 16:47:13.881003264,1.403028083028083
2023-08-31 16:47:13.886003456,1.4917704517704518
2023-08-31 16:47:13.891003648,1.585006105006105
2023-08-31 16:47:13.896003840,1.6681318681318682
2023-08-31 16:47:13.901003776,1.7332844932844933
2023-08-31 16:47:13.906003968,1.7467643467643468
2023-08-31 16:47:13.911004160,1.7804639804639804
2023-08-31 16:47:13.916004096,1.7872039072039072
2023-08-31 16:47:13.921004288,1.8175335775335775
2023-08-31 16:47:13.926004480,1.8321367521367522
2023-08-31 16:47:13.931004416,1.8355067155067155
2023-08-31 16:47:13.936004608,1.8388766788766788
2023-08-31 16:47:13.941004800,1.841123321123321
2023-08-31 16:47:13.946004992,1.8433699633699634
2023-08-31 16:47:13.951004928,1.8433699633699634
2023-08-31 16:47:13.956005120,1.85010989010989
2023-08-31 16:47:13.961005312,1.8568498168498169
2023-08-31 16:47:13.966005248,1.866959706959707
2023-08-31 16:47:13.971005440,1.8624664224664225
2023-08-31 16:47:13.976005632,1.857973137973138
2023-08-31 16:47:13.981005568,1.8523565323565323
2023-08-31 16:47:13.986005760,1.8512332112332113
2023-08-31 16:47:13.991005952,1.8613431013431014
2023-08-31 16:47:13.996005888,1.8534798534798536
2023-08-31 16:47:14.001006080,1.8624664224664225
2023-08-31 16:47:14.006006272,1.8590964590964592
2023-08-31 16:47:14.011006464,1.8512332112332113
2023-08-31 16:47:14.016006400,1.8557264957264956
2023-08-31 16:47:14.021006592,1.8355067155067155
2023-08-31 16:47:14.026006784,1.8265201465201466
2023-08-31 16:47:14.031006720,1.8321367521367522
2023-08-31 16:47:14.036006912,1.82989010989011
2023-08-31 16:47:14.041007104,1.8141636141636142
2023-08-31 16:47:14.046007040,1.802930402930403
2023-08-31 16:47:14.051007232,1.7984371184371184
2023-08-31 16:47:14.056007424,1.7872039072039072
2023-08-31 16:47:14.061007616,1.777094017094017
2023-08-31 16:47:14.066007552,1.7815873015873016
2023-08-31 16:47:14.071007744,1.7916971916971918
2023-08-31 16:47:14.076007936,1.7928205128205128
