DateTime,ECG
2023-10-04 14:46:03.500999936,1.7411477411477412
2023-10-04 14:46:03.506000128,1.7411477411477412
2023-10-04 14:46:03.511000064,1.7411477411477412
2023-10-04 14:46:03.516000256,1.7546275946275947
2023-10-04 14:46:03.521000448,1.74002442002442
2023-10-04 14:46:03.526000384,1.7523809523809524
2023-10-04 14:46:03.531000576,1.7332844932844933
2023-10-04 14:46:03.536000768,1.7535042735042734
2023-10-04 14:46:03.541000960,1.7445177045177045
2023-10-04 14:46:03.546000896,1.731037851037851
2023-10-04 14:46:03.551001088,1.7276678876678877
2023-10-04 14:46:03.556001280,1.7265445665445665
2023-10-04 14:46:03.561001216,1.7681074481074481
2023-10-04 14:46:03.566001408,1.75013431013431
2023-10-04 14:46:03.571001600,1.823150183150183
2023-10-04 14:46:03.576001536,1.9017826617826619
2023-10-04 14:46:03.581001728,1.9759218559218559
2023-10-04 14:46:03.586001920,2.018608058608059
2023-10-04 14:46:03.591002112,2.1466666666666665
2023-10-04 14:46:03.596002048,2.3443711843711843
2023-10-04 14:46:03.601002240,2.5892551892551894
2023-10-04 14:46:03.606002432,2.73978021978022
2023-10-04 14:46:03.611002368,2.751013431013431
2023-10-04 14:46:03.616002560,2.505006105006105
2023-10-04 14:46:03.621002752,1.866959706959707
2023-10-04 14:46:03.626002688,1.1963369963369963
2023-10-04 14:46:03.631002880,0.7368986568986569
2023-10-04 14:46:03.636003072,0.5818803418803419
2023-10-04 14:46:03.641003008,0.6616361416361416
2023-10-04 14:46:03.646003200,0.7975579975579976
2023-10-04 14:46:03.651003392,0.8851770451770452
2023-10-04 14:46:03.656003584,1.0604151404151405
2023-10-04 14:46:03.661003520,1.2592429792429793
2023-10-04 14:46:03.666003712,1.42998778998779
2023-10-04 14:46:03.671003904,1.4928937728937728
2023-10-04 14:46:03.676003840,1.61982905982906
2023-10-04 14:46:03.681004032,1.7231746031746031
2023-10-04 14:46:03.686004224,1.738901098901099
2023-10-04 14:46:03.691004160,1.7669841269841269
2023-10-04 14:46:03.696004352,1.8074236874236875
