I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-166.0,-295.0,-428.0,-560.0,-696.0,-829.0,-124,-261,-391,-524,-662,-795
-163.0,-295.0,-428.0,-556.0,-698.0,-830.0,-124,-261,-392,-524,-662,-796
-162.0,-296.0,-428.0,-560.0,-696.0,-831.0,-123,-261,-391,-524,-663,-796
-161.0,-299.0,-428.0,-561.0,-696.0,-830.0,-123,-262,-391,-526,-663,-797
-160.0,-296.0,-428.0,-562.0,-695.0,-830.0,-123,-262,-391,-524,-663,-797
-160.0,-295.0,-428.0,-564.0,-695.0,-829.0,-123,-263,-391,-525,-664,-797
-160.0,-294.0,-428.0,-562.0,-695.0,-829.0,-123,-262,-391,-526,-663,-797
-160.0,-294.0,-428.0,-561.0,-695.0,-829.0,-123,-262,-391,-525,-663,-797
-161.0,-294.0,-428.0,-561.0,-696.0,-829.0,-123,-262,-391,-525,-663,-800
-161.0,-294.0,-428.0,-560.0,-696.0,-829.0,-123,-261,-391,-524,-663,-798
-163.0,-295.0,-428.0,-560.0,-697.0,-829.0,-123,-261,-391,-524,-662,-797
-162.0,-295.0,-428.0,-560.0,-696.0,-829.0,-123,-261,-390,-523,-662,-796
-161.0,-295.0,-428.0,-560.0,-696.0,-830.0,-123,-261,-390,-523,-660,-795
-161.0,-295.0,-429.0,-561.0,-696.0,-830.0,-123,-261,-390,-523,-660,-795
-161.0,-295.0,-430.0,-561.0,-695.0,-830.0,-123,-261,-390,-523,-660,-795
-160.0,-296.0,-433.0,-562.0,-694.0,-830.0,-123,-261,-389,-522,-660,-794
-159.0,-296.0,-431.0,-562.0,-694.0,-831.0,-124,-261,-389,-522,-659,-794
-156.0,-299.0,-430.0,-565.0,-690.0,-833.0,-125,-260,-387,-520,-659,-793
-159.0,-296.0,-429.0,-563.0,-693.0,-831.0,-126,-260,-386,-519,-658,-793
-159.0,-295.0,-428.0,-562.0,-694.0,-830.0,-126,-260,-383,-515,-656,-792
-160.0,-294.0,-429.0,-562.0,-694.0,-829.0,-129,-261,-386,-518,-655,-791
